WellId;Well_ColId;Well_RowId;S;T;Z;C;area;centroid-0;centroid-1;max_intensity;mean_intensity;min_intensity;bbox-0;bbox-1;bbox-2;bbox-3
B4;4;2;0;0;0;0;118;5.305084745762712;173.20338983050848;114;96.67796610169492;72;1;166;10;182
B4;4;2;0;0;0;0;155;9.806451612903226;485.90967741935486;97;69.16129032258064;46;4;478;17;494
B4;4;2;0;0;0;0;180;12.55;603.9222222222222;77;59.6;38;6;594;20;615
B4;4;2;0;0;0;0;215;10.655813953488373;149.03255813953487;176;135.55348837209303;65;4;139;18;160
B4;4;2;0;0;0;0;183;13.12568306010929;436.59562841530055;95;73.1639344262295;46;2;431;26;443
B4;4;2;0;0;0;0;210;15.82857142857143;398.84285714285716;116;88.98571428571428;52;9;389;24;409
B4;4;2;0;0;0;0;176;19.71590909090909;185.9090909090909;255;202.1306818181818;102;13;177;26;196
B4;4;2;0;0;0;0;143;20.594405594405593;563.7902097902098;80;55.08391608391609;40;12;558;31;570
B4;4;2;0;0;0;0;207;26.144927536231883;109.79710144927536;158;119.38647342995169;68;18;103;36;117
B4;4;2;0;0;0;0;149;24.322147651006713;493.8456375838926;92;71.18120805369128;47;18;487;33;501
B4;4;2;0;0;0;0;180;29.483333333333334;529.0111111111111;93;70.67777777777778;50;21;521;37;541
B4;4;2;0;0;0;0;100;32.7;546.04;76;62.13;43;26;538;41;555
B4;4;2;0;0;0;0;116;32.56896551724138;146.88793103448276;134;95.75;56;28;140;39;157
B4;4;2;0;0;0;0;182;38.917582417582416;416.68131868131866;116;80.17032967032966;46;28;412;51;423
B4;4;2;0;0;0;0;117;34.17094017094017;626.4957264957264;84;57.64102564102564;41;28;619;42;635
B4;4;2;0;0;0;0;88;37.70454545454545;163.26136363636363;145;101.92045454545455;56;33;157;43;170
B4;4;2;0;0;0;0;186;38.956989247311824;226.01612903225808;172;134.17741935483872;71;34;216;45;237
B4;4;2;0;0;0;0;208;39.33173076923077;593.0673076923077;111;86.5048076923077;55;31;584;46;606
B4;4;2;0;0;0;0;204;39.84313725490196;19.524509803921568;82;64.28921568627452;42;28;13;51;28
B4;4;2;0;0;0;0;75;39.21333333333333;477.97333333333336;78;64.78666666666666;44;35;473;45;485
B4;4;2;0;0;0;0;122;44.97540983606557;461.4344262295082;98;79.77868852459017;53;38;456;53;467
B4;4;2;0;0;0;0;173;41.346820809248555;250.79768786127167;95;73.0635838150289;42;29;244;54;258
B4;4;2;0;0;0;0;51;46.35294117647059;483.4117647058824;80;65.98039215686275;47;43;480;51;488
B4;4;2;0;0;0;0;198;46.06060606060606;338.04545454545456;142;97.26262626262626;50;36;332;56;345
B4;4;2;0;0;0;0;250;49.912;299.972;105;80.664;52;44;290;59;311
B4;4;2;0;0;0;0;195;52.54871794871795;377.7641025641026;120;88.83589743589744;49;44;370;61;388
B4;4;2;0;0;0;0;157;52.031847133757964;508.9490445859873;80;62.261146496815286;43;45;503;60;516
B4;4;2;0;0;0;0;267;58.60674157303371;271.85393258426967;87;64.72284644194757;35;46;265;72;279
B4;4;2;0;0;0;0;185;56.962162162162166;128.12432432432433;104;80.96216216216216;55;52;118;63;140
B4;4;2;0;0;0;0;166;59.90963855421687;434.62048192771084;94;74.1987951807229;51;53;426;69;442
B4;4;2;0;0;0;0;204;64.7156862745098;221.73039215686273;142;99.69117647058823;41;55;215;77;229
B4;4;2;0;0;0;0;91;65.10989010989012;426.0769230769231;89;74.68131868131869;53;60;421;70;433
B4;4;2;0;0;0;0;152;78.34868421052632;33.10526315789474;101;77.8157894736842;49;71;27;87;41
B4;4;2;0;0;0;0;62;73.46774193548387;386.241935483871;79;65.2741935483871;43;70;382;79;391
B4;4;2;0;0;0;0;108;76.54629629629629;396.0740740740741;79;62.333333333333336;40;71;390;83;404
B4;4;2;0;0;0;0;156;78.92307692307692;520.3269230769231;73;55.08974358974359;34;71;513;87;529
B4;4;2;0;0;0;0;195;82.41025641025641;192.02564102564102;100;76.81025641025641;50;71;186;94;199
B4;4;2;0;0;0;0;168;81.76785714285714;553.952380952381;82;61.535714285714285;46;77;544;88;565
B4;4;2;0;0;0;0;166;78.65060240963855;327.4879518072289;95;72.29518072289157;41;71;321;87;335
B4;4;2;0;0;0;0;78;79.21794871794872;591.9615384615385;96;78.32051282051282;46;73;588;85;597
