Scene,Tile,T,Z,C,X [micron],Y [micron],Z [micron],Time [s]
0,92,0,0,0,-32771.2,5359.2,3771.4,17.330
0,93,0,0,0,-33088.0,5359.2,3771.1,17.340
0,94,0,0,0,-33404.8,5359.2,3770.7,17.350
0,95,0,0,0,-33721.6,5359.2,3770.3,17.360
0,96,0,0,0,-34038.4,5359.2,3770.0,17.370
0,97,0,0,0,-34355.2,5359.2,3769.6,17.380
0,98,0,0,0,-34672.0,5359.2,3769.2,17.390
0,99,0,0,0,-34988.8,5359.2,3768.8,17.400
0,100,0,0,0,-35305.6,5359.2,3768.4,17.410
0,101,0,0,0,-35622.4,5359.2,3768.0,17.420
0,102,0,0,0,-35939.2,5359.2,3767.5,17.430
0,103,0,0,0,-36256.0,5359.2,3767.1,17.440
0,104,0,0,0,-36572.8,5359.2,3766.7,17.450
0,105,0,0,0,-36889.6,5359.2,3766.3,17.460
0,106,0,0,0,-37206.4,5359.2,3765.8,17.470
0,107,0,0,0,-37523.2,5359.2,3765.4,17.480
0,108,0,0,0,-37840.0,5359.2,3764.9,17.490
0,109,0,0,0,-38156.8,5359.2,3764.5,17.500
0,110,0,0,0,-38473.6,5359.2,3764.0,17.510
0,111,0,0,0,-38790.4,5359.2,3763.5,17.520
0,112,0,0,0,-39107.2,5359.2,3763.0,17.530
0,113,0,0,0,-39424.0,5359.2,3762.4,17.540
0,114,0,0,0,-39740.8,5359.2,3762.0,17.550
0,115,0,0,0,-40057.6,5359.2,3761.5,17.560
0,116,0,0,0,-40374.4,5359.2,3761.0,17.570
0,117,0,0,0,-40691.2,5359.2,3760.5,17.580
0,118,0,0,0,-41008.0,5359.2,3760.0,17.590
0,119,0,0,0,-41324.8,5359.2,3759.4,17.600
0,120,0,0,0,-41641.6,5596.8,3759.2,22.222
0,121,0,0,0,-41324.8,5596.8,3759.7,22.232
0,122,0,0,0,-41008.0,5596.8,3760.2,22.242
0,123,0,0,0,-40691.2,5596.8,3760.8,22.252
0,124,0,0,0,-40374.4,5596.8,3761.3,22.262
0,125,0,0,0,-40057.6,5596.8,3761.8,22.272
0,126,0,0,0,-39740.8,5596.8,3762.4,22.282
0,127,0,0,0,-39424.0,5596.8,3762.8,22.292
0,128,0,0,0,-39107.2,5596.8,3763.3,22.302
0,129,0,0,0,-38790.4,5596.8,3763.7,22.314
0,130,0,0,0,-38473.6,5596.8,3764.2,22.324
0,131,0,0,0,-38156.8,5596.8,3764.7,22.334
0,132,0,0,0,-37840.0,5596.8,3765.1,22.344
0,133,0,0,0,-37523.2,5596.8,3765.6,22.354
0,134,0,0,0,-37206.4,5596.8,3766.0,22.364
0,135,0,0,0,-36889.6,5596.8,3766.5,22.374
0,136,0,0,0,-36572.8,5596.8,3766.9,22.434
0,137,0,0,0,-36256.0,5596.8,3767.3,22.444
0,138,0,0,0,-35939.2,5596.8,3767.8,22.455
0,139,0,0,0,-35622.4,5596.8,3768.2,22.489
0,140,0,0,0,-35305.6,5596.8,3768.6,22.522
0,141,0,0,0,-34988.8,5596.8,3769.0,22.554
0,142,0,0,0,-34672.0,5596.8,3769.4,22.569
0,143,0,0,0,-34355.2,5596.8,3769.8,22.579
0,144,0,0,0,-34038.4,5596.8,3770.2,22.589
0,145,0,0,0,-33721.6,5596.8,3770.6,22.599
0,146,0,0,0,-33404.8,5596.8,3770.9,22.609
0,147,0,0,0,-33088.0,5596.8,3771.3,22.619
0,148,0,0,0,-32771.2,5596.8,3771.7,22.631
0,149,0,0,0,-32454.4,5596.8,3772.0,22.641
0,150,0,0,0,-32137.6,5596.8,3772.4,22.651
0,151,0,0,0,-31820.8,5596.8,3772.7,22.661
0,152,0,0,0,-31504.0,5596.8,3773.1,22.671
0,153,0,0,0,-31187.2,5596.8,3773.4,22.681
0,154,0,0,0,-30870.4,5596.8,3773.8,22.691
0,155,0,0,0,-30553.6,5596.8,3774.1,22.701
0,156,0,0,0,-30236.8,5596.8,3774.4,22.711
0,157,0,0,0,-29920.0,5596.8,3774.8,22.721
0,158,0,0,0,-29286.4,5834.4,3775.6,29.742
0,159,0,0,0,-29603.2,5834.4,3775.3,29.752
0,160,0,0,0,-29920.0,5834.4,3775.0,29.762
0,161,0,0,0,-30236.8,5834.4,3774.7,29.772
0,162,0,0,0,-30553.6,5834.4,3774.3,29.783
0,163,0,0,0,-30870.4,5834.4,3774.0,29.795
0,164,0,0,0,-31187.2,5834.4,3773.7,29.805
0,165,0,0,0,-31504.0,5834.4,3773.3,29.907
0,166,0,0,0,-31820.8,5834.4,3773.0,29.918
0,167,0,0,0,-32137.6,5834.4,3772.6,29.964
0,168,0,0,0,-32454.4,5834.4,3772.3,29.998
0,169,0,0,0,-32771.2,5834.4,3771.9,30.011
0,170,0,0,0,-33088.0,5834.4,3771.5,30.021
0,171,0,0,0,-33404.8,5834.4,3771.2,30.031
0,172,0,0,0,-33721.6,5834.4,3770.8,30.041
0,173,0,0,0,-34038.4,5834.4,3770.4,30.051
0,174,0,0,0,-34355.2,5834.4,3770.0,30.061
0,175,0,0,0,-34672.0,5834.4,3769.6,30.072
0,176,0,0,0,-34988.8,5834.4,3769.2,30.086
0,177,0,0,0,-35305.6,5834.4,3768.8,30.096
0,178,0,0,0,-35622.4,5834.4,3768.4,30.112
0,179,0,0,0,-35939.2,5834.4,3768.0,30.122
0,180,0,0,0,-36256.0,5834.4,3767.6,30.135
0,181,0,0,0,-36572.8,5834.4,3767.1,30.145
0,182,0,0,0,-36889.6,5834.4,3766.7,30.155
0,183,0,0,0,-37206.4,5834.4,3766.3,30.167
0,184,0,0,0,-37523.2,5834.4,3765.8,30.177
0,185,0,0,0,-37840.0,5834.4,3765.4,30.187
0,186,0,0,0,-38156.8,5834.4,3764.9,30.199
0,187,0,0,0,-38473.6,5834.4,3764.4,30.209
0,188,0,0,0,-38790.4,5834.4,3764.0,30.219
0,189,0,0,0,-39107.2,5834.4,3763.5,30.235
0,190,0,0,0,-39424.0,5834.4,3763.0,30.246
0,191,0,0,0,-39740.8,5834.4,3762.4,30.256
0,192,0,0,0,-40057.6,5834.4,3761.9,30.266
0,193,0,0,0,-40374.4,5834.4,3761.5,30.278
0,194,0,0,0,-40691.2,5834.4,3761.0,30.288
0,195,0,0,0,-41008.0,5834.4,3760.5,30.298
0,196,0,0,0,-41324.8,5834.4,3760.0,30.308
0,197,0,0,0,-41641.6,5834.4,3759.3,30.318
0,198,0,0,0,-41958.4,6072.0,3759.1,36.687
0,199,0,0,0,-41641.6,6072.0,3759.7,36.697
0,200,0,0,0,-41324.8,6072.0,3760.2,36.707
0,201,0,0,0,-41008.0,6072.0,3760.7,36.717
0,202,0,0,0,-40691.2,6072.0,3761.2,36.727
0,203,0,0,0,-40374.4,6072.0,3761.8,36.738
0,204,0,0,0,-40057.6,6072.0,3762.3,36.748
0,205,0,0,0,-39740.8,6072.0,3762.9,36.758
0,206,0,0,0,-39424.0,6072.0,3763.2,36.768
0,207,0,0,0,-39107.2,6072.0,3763.7,36.780
0,208,0,0,0,-38790.4,6072.0,3764.2,36.791
0,209,0,0,0,-38473.6,6072.0,3764.7,36.801
0,210,0,0,0,-38156.8,6072.0,3765.1,36.865
0,211,0,0,0,-37840.0,6072.0,3765.6,36.875
0,212,0,0,0,-37523.2,6072.0,3766.0,36.885
0,213,0,0,0,-37206.4,6072.0,3766.5,36.895
0,214,0,0,0,-36889.6,6072.0,3766.9,36.905
0,215,0,0,0,-36572.8,6072.0,3767.4,36.915
0,216,0,0,0,-36256.0,6072.0,3767.8,36.925
0,217,0,0,0,-35939.2,6072.0,3768.2,36.937
0,218,0,0,0,-35622.4,6072.0,3768.6,36.977
0,219,0,0,0,-35305.6,6072.0,3769.0,36.987
0,220,0,0,0,-34988.8,6072.0,3769.4,36.997
0,221,0,0,0,-34672.0,6072.0,3769.8,37.008
0,222,0,0,0,-34355.2,6072.0,3770.2,37.023
0,223,0,0,0,-34038.4,6072.0,3770.6,37.034
0,224,0,0,0,-33721.6,6072.0,3771.0,37.050
0,225,0,0,0,-33404.8,6072.0,3771.4,37.060
0,226,0,0,0,-33088.0,6072.0,3771.7,37.070
0,227,0,0,0,-32771.2,6072.0,3772.1,37.080
0,228,0,0,0,-32454.4,6072.0,3772.5,37.095
